Date,Open,High,Low,Close,Adj Close,Volume
2022-10-30,0.000987,0.001013,0.000937,0.001000,0.001000,186276
2022-10-31,0.001000,0.001026,0.000926,0.000946,0.000946,184251
2022-11-01,0.000946,0.000979,0.000921,0.000955,0.000955,185293
2022-11-02,0.000955,0.001009,0.000940,0.000965,0.000965,190334
2022-11-03,0.000965,0.001007,0.000963,0.000990,0.000990,197368
2022-11-04,0.000990,0.001287,0.000977,0.001038,0.001038,398309
2022-11-05,0.001037,0.001070,0.001032,0.001065,0.001065,230128
2022-11-06,0.001065,0.001146,0.001023,0.001025,0.001025,298651
2022-11-07,0.001024,0.001092,0.000985,0.000995,0.000995,272674
2022-11-08,0.000995,0.001015,0.000784,0.000831,0.000831,264498
2022-11-09,0.000831,0.000849,0.000737,0.000766,0.000766,263096
2022-11-10,0.000764,0.000904,0.000759,0.000824,0.000824,172399
2022-11-11,0.000823,0.000828,0.000767,0.000802,0.000802,153405
2022-11-12,0.000802,0.000804,0.000722,0.000735,0.000735,207089
2022-11-13,0.000736,0.000963,0.000655,0.000662,0.000662,318124
2022-11-14,0.000663,0.000689,0.000614,0.000629,0.000629,180340
2022-11-15,0.000629,0.000656,0.000627,0.000636,0.000636,214384
2022-11-16,0.000636,0.000676,0.000621,0.000674,0.000674,243469
2022-11-17,0.000673,0.000680,0.000656,0.000656,0.000656,171093
2022-11-18,0.000657,0.000672,0.000606,0.000618,0.000618,214666
2022-11-19,0.000617,0.000975,0.000611,0.000838,0.000838,1114456
2022-11-20,0.000838,0.000865,0.000643,0.000676,0.000676,566109
2022-11-21,0.000676,0.000677,0.000600,0.000614,0.000614,216200
2022-11-22,0.000615,0.001137,0.000600,0.000733,0.000733,717200
2022-11-23,0.000732,0.000779,0.000665,0.000708,0.000708,549564
2022-11-24,0.000708,0.000859,0.000706,0.000726,0.000726,344745
2022-11-25,0.000726,0.000767,0.000704,0.000729,0.000729,257690
2022-11-26,0.000729,0.000768,0.000700,0.000764,0.000764,224716
2022-11-27,0.000764,0.000772,0.000693,0.000712,0.000712,154426
2022-11-28,0.000712,0.000739,0.000693,0.000714,0.000714,149068
2022-11-29,0.000714,0.000768,0.000698,0.000733,0.000733,165772
2022-11-30,0.000733,0.000771,0.000700,0.000738,0.000738,146824
2022-12-01,0.000738,0.000783,0.000715,0.000780,0.000780,180152
2022-12-02,0.000781,0.000877,0.000779,0.000873,0.000873,277760
2022-12-03,0.000872,0.000877,0.000774,0.000780,0.000780,267036
2022-12-04,0.000781,0.000909,0.000780,0.000876,0.000876,195799
2022-12-05,0.000875,0.000959,0.000809,0.000812,0.000812,144122
2022-12-06,0.000812,0.000824,0.000795,0.000813,0.000813,133807
2022-12-07,0.000813,0.000857,0.000786,0.000813,0.000813,129030
2022-12-08,0.000813,0.000974,0.000784,0.000901,0.000901,294966
2022-12-09,0.000901,0.001135,0.000867,0.001038,0.001038,444326
2022-12-10,0.001038,0.001046,0.000945,0.000969,0.000969,216007
2022-12-11,0.000969,0.001536,0.000949,0.001236,0.001236,1447589
2022-12-12,0.001236,0.001254,0.000907,0.000955,0.000955,589997
2022-12-13,0.000955,0.001007,0.000834,0.000906,0.000906,344307
2022-12-14,0.000906,0.000946,0.000840,0.000863,0.000863,228997
2022-12-15,0.000864,0.000875,0.000745,0.000778,0.000778,179810
2022-12-16,0.000778,0.000783,0.000683,0.000701,0.000701,196896
2022-12-17,0.000701,0.000704,0.000644,0.000681,0.000681,170347
2022-12-18,0.000681,0.000817,0.000656,0.000794,0.000794,379398
2022-12-19,0.000794,0.000804,0.000672,0.000679,0.000679,312499
2022-12-20,0.000679,0.000686,0.000656,0.000679,0.000679,183415
2022-12-21,0.000679,0.000680,0.000649,0.000649,0.000649,192783
2022-12-22,0.000650,0.000665,0.000603,0.000627,0.000627,224666
2022-12-23,0.000627,0.000648,0.000606,0.000646,0.000646,182685
2022-12-24,0.000646,0.000675,0.000644,0.000675,0.000675,204270
2022-12-25,0.000675,0.000676,0.000620,0.000640,0.000640,165255
2022-12-26,0.000640,0.000678,0.000639,0.000677,0.000677,183749
2022-12-27,0.000677,0.000677,0.000623,0.000634,0.000634,149194
2022-12-28,0.000633,0.000655,0.000630,0.000643,0.000643,166911
